Location,Abbreviation,TeethRemoved,BachelorHigher
Alabama,AL,22.2,19
Alaska,AK,13.4,30.4
Arizona,AZ,12.3,27.3
Arkansas,AR,22,17.7
California,CA,8.7,29.5
Colorado,CO,10.5,34
Connecticut,CT,10.5,30.4
Delaware,DE,16.1,25.7
District of Columbia,DC,11,39.2
Florida,FL,13.2,25.6
Georgia,GA,19.3,23.2
Hawaii,HI,6.5,27.8
Idaho,ID,14.9,23.1
Illinois,IL,16.5,24.2
Indiana,IN,18,18.9
Iowa,IA,15,20.1
Kansas,KS,16.4,26
Kentucky,KY,23.9,17.1
Louisiana,LA,20.5,20.3
Maine,ME,17.5,26.4
Maryland,MD,12.9,31.9
Massachusetts,MA,14.4,30
Michigan,MI,12.9,21.8
Minnesota,MN,10.5,26.2
Mississippi,MS,22.5,19.1
Missouri,MO,19.9,20.3
Montana,MT,16.7,26.1
Nebraska,NE,14.1,20.7
Nevada,NV,17,23.6
New Hampshire,NH,12.2,30.4
New Jersey,NJ,13.1,27.5
New Mexico,NM,15.7,28.8
New York,NY,14.9,25.7
North Carolina,NC,19.6,23.2
North Dakota,ND,14.3,20.3
Ohio,OH,18.1,19.7
Oklahoma,OK,22.5,21.3
Oregon,OR,13,28.3
Pennsylvania,PA,15.7,20.2
Rhode Island,RI,13.8,25.4
South Carolina,SC,18.1,23.9
South Dakota,SD,16.1,20.5
Tennessee,TN,22.4,20
Texas,TX,12.3,24.3
Utah,UT,11.2,30.4
Vermont,VT,16.9,31.8
Virginia,VA,15.1,28.9
Washington,WA,11.1,30.4
West Virginia,WV,33.7,13.7
Wisconsin,WI,13.5,22
Wyoming,WY,17.2,26
